timestamp_ms,node_addr,role,session_id,file,size_bytes,hops,exits,elapsed_ms,progress_pct,sent_bytes,tx_Bps,acked_frags,ack_fps,inflight,max_inflight,mesh_retx,oow_queued,oow_sent,cong,bp,mesh_ms,cloud_wait_ms,e2e_Bps,mesh_Bps,result
76961,0x7E40,local_exit,17694,demo-large.jpg,1061002,0,0,56467,68,0,0,499,15,16,16,0,0,0,0,0,0,0,0,0,periodic
77970,0x7E40,local_exit,17694,demo-large.jpg,1061002,0,0,57476,69,0,0,504,4,16,16,0,0,0,0,0,0,0,0,0,periodic
79793,0x7E40,local_exit,17694,demo-large.jpg,1061002,0,0,59299,74,0,0,540,19,9,16,0,0,0,0,0,0,0,0,0,periodic
80794,0x7E40,local_exit,17694,demo-large.jpg,1061002,0,0,60300,74,0,0,541,0,16,16,0,0,0,0,0,0,0,0,0,periodic
81824,0x7E40,local_exit,17694,demo-large.jpg,1061002,0,0,61330,75,0,0,554,12,16,16,0,0,0,0,0,0,0,0,0,periodic
82848,0x7E40,local_exit,17694,demo-large.jpg,1061002,0,0,62354,75,0,0,554,0,16,16,0,0,0,0,0,0,0,0,0,periodic
83870,0x7E40,local_exit,17694,demo-large.jpg,1061002,0,0,63376,75,0,0,554,0,16,16,0,0,0,0,0,0,0,0,0,periodic
84870,0x7E40,local_exit,17694,demo-large.jpg,1061002,0,0,64376,77,0,0,563,9,16,16,0,0,0,0,0,0,0,0,0,periodic
85871,0x7E40,local_exit,17694,demo-large.jpg,1061002,0,0,65377,77,0,0,565,1,16,16,0,0,0,0,0,0,0,0,0,periodic
86884,0x7E40,local_exit,17694,demo-large.jpg,1061002,0,0,66390,79,0,0,576,10,16,16,0,0,0,0,0,0,0,0,0,periodic
87906,0x7E40,local_exit,17694,demo-large.jpg,1061002,0,0,67412,79,0,0,577,0,16,16,0,0,0,0,0,0,0,0,0,periodic
88929,0x7E40,local_exit,17694,demo-large.jpg,1061002,0,0,68435,81,0,0,593,15,16,16,0,0,0,0,0,0,0,0,0,periodic
89936,0x7E40,local_exit,17694,demo-large.jpg,1061002,0,0,69442,82,0,0,601,7,16,16,0,0,0,0,0,0,0,0,0,periodic
91021,0x7E40,local_exit,17694,demo-large.jpg,1061002,0,0,70527,82,0,0,602,0,16,16,0,0,0,0,0,0,0,0,0,periodic
92047,0x7E40,local_exit,17694,demo-large.jpg,1061002,0,0,71553,84,0,0,617,14,16,16,0,0,0,0,0,0,0,0,0,periodic
93071,0x7E40,local_exit,17694,demo-large.jpg,1061002,0,0,72577,84,0,0,617,0,16,16,0,0,0,0,0,0,0,0,0,periodic
94081,0x7E40,local_exit,17694,demo-large.jpg,1061002,0,0,73587,85,0,0,626,8,16,16,0,0,0,0,0,0,0,0,0,periodic
95110,0x7E40,local_exit,17694,demo-large.jpg,1061002,0,0,74616,86,0,0,630,3,16,16,0,0,0,0,0,0,0,0,0,periodic
96133,0x7E40,local_exit,17694,demo-large.jpg,1061002,0,0,75639,88,0,0,647,16,16,16,0,0,0,0,0,0,0,0,0,periodic
97146,0x7E40,local_exit,17694,demo-large.jpg,1061002,0,0,76652,90,0,0,661,13,16,16,0,0,0,0,0,0,0,0,0,periodic
98170,0x7E40,local_exit,17694,demo-large.jpg,1061002,0,0,77676,90,0,0,663,1,16,16,0,0,0,0,0,0,0,0,0,periodic
99186,0x7E40,local_exit,17694,demo-large.jpg,1061002,0,0,78692,92,0,0,676,12,16,16,0,0,0,0,0,0,0,0,0,periodic
100199,0x7E40,local_exit,17694,demo-large.jpg,1061002,0,0,79705,94,0,0,689,12,16,16,0,0,0,0,0,0,0,0,0,periodic
102460,0x7E40,local_exit,17694,demo-large.jpg,1061002,0,0,81966,95,0,0,693,1,16,16,0,0,0,0,0,0,0,0,0,periodic
103482,0x7E40,local_exit,17694,demo-large.jpg,1061002,0,0,82988,95,0,0,695,1,16,16,0,0,0,0,0,0,0,0,0,periodic
104489,0x7E40,local_exit,17694,demo-large.jpg,1061002,0,0,83995,96,0,0,701,5,16,16,0,0,0,0,0,0,0,0,0,periodic
105518,0x7E40,local_exit,17694,demo-large.jpg,1061002,0,0,85024,96,0,0,701,0,16,16,0,0,0,0,0,0,0,0,0,periodic
106907,0x7E40,local_exit,17694,demo-large.jpg,1061002,0,0,86413,98,0,0,721,14,8,16,0,0,0,0,0,0,0,0,0,periodic
107213,0x7E40,local_exit,17694,demo-large.jpg,1061002,0,0,86719,100,1061002,12234,729,0,0,16,0,0,0,0,0,86719,0,12234,12234,complete
