FLP FEC Layout for: demo.txt
========================================================================
File size:      291816 bytes
CRC-32:         0xD462B47D (3563238525)
Fragment size:  1456 bytes
Data fragments: 201
FEC group size: 7 data + 1 parity
Full groups:    28
Trailing frags: 5 (no parity)
Total seqs:     229
========================================================================

  seq     type  group  idx  data_idx      offset  length       crc32  first_8_hex
  118     DATA     14    6       104      151424    1456  0x8CCD518A  74696f6e2e205768
  119   PARITY     14    7         -           -    1456  0x9C496259  7f740f776233096f
  120     DATA     15    0       105      152880    1456  0x2C950A70  696e64726963616c
  121     DATA     15    1       106      154336    1456  0x8B941BBA  686520666f726d20
  122     DATA     15    2       107      155792    1456  0x8234719D  6e672068756d616e
  123     DATA     15    3       108      157248    1456  0xD37AD1C8  616e73706172656e
  124     DATA     15    4       109      158704    1456  0xD234E52B  6173736573206172
  125     DATA     15    5       110      160160    1456  0x1F1A6578  61742072656c6561
  126     DATA     15    6       111      161616    1456  0x562E5B03  6c6c756d696e6174
  127   PARITY     15    7         -           -    1456  0x6D4F6ACF  626931766d2c6d2b
  128     DATA     16    0       112      163072    1456  0xCD4BBEE0  6972656c79206465
  129     DATA     16    1       113      164528    1456  0xF58409BE  6e2e20496e207468
  130     DATA     16    2       114      165984    1456  0xF4244AA0  6d7564646c696e67
  131     DATA     16    3       115      167440    1456  0xF5DD0CDE  20746f2068756d61
  132     DATA     16    4       116      168896    1456  0x9BD68A17  65206579652c2070
  133     DATA     16    5       117      170352    1456  0xC9322C4B  732063616e20696e
  134     DATA     16    6       118      171808    1456  0xCB641BB3  7669646573207468
  135   PARITY     16    7         -           -    1456  0xA0B64CCF  2a342c1c6b302e7d
  136     DATA     17    0       119      173264    1456  0x84199324  7175652070726f70
  137     DATA     17    1       120      174720    1456  0x60F4CF51  20696e746f206120
  138     DATA     17    2       121      176176    1456  0xD36AE390  70656420746f2065
  139     DATA     17    3       122      177632    1456  0x1E9F18F1  6e65206f66207468
  140     DATA     17    4       123      179088    1456  0xFF9E690E  0a0a4c6574207573
  141     DATA     17    5       124      180544    1456  0xADECA03A  206d6163756c6172
  142     DATA     17    6       125      182000    1456  0x044B2B6F  74726176656c2069
  143   PARITY     17    7         -           -    1456  0x7F21454F  1109036b693d6e35
  144     DATA     18    0       126      183456    1456  0x331E4141  696768742c206361
  145     DATA     18    1       127      184912    1456  0x0442C6D6  6e2070726f647563
  146     DATA     18    2       128      186368    1456  0xE041C42B  6e697175656c7920
  147     DATA     18    3       129      187824    1456  0x53EC007B  7468206120686967
  148     DATA     18    4       130      189280    1456  0x8E355542  6c61737365732c20
  149     DATA     18    5       131      190736    1456  0x71FB763E  61746520666f7220
  150     DATA     18    6       132      192192    1456  0xA2FAFC5A  2041206472696e6b
  151   PARITY     18    7         -           -    1456  0xD9C59CE1  30127f257735362e
  152     DATA     19    0       133      193648    1456  0xB25E9829  2063656c6c756c61
  153     DATA     19    1       134      195104    1456  0xEA5688B9  20616e6420636170
  154     DATA     19    2       135      196560    1456  0x3EB2377C  7665206261727269
  155     DATA     19    3       136      198016    1456  0x3C48AC9D  6c6174696c652065
  156     DATA     19    4       137      199472    1456  0xBC3DAACF  7370616365732e20
  157     DATA     19    5       138      200928    1456  0x7A7906BA  616c206c69666573
  158     DATA     19    6       139      202384    1456  0x04D80639  7320686176652061
  159   PARITY     19    7         -           -    1456  0x986E213D  7b3a766d3b71342f
  160     DATA     20    0       140      203840    1456  0xBC4F0E4A  68696c6520697473
  161     DATA     20    1       141      205296    1456  0x9EC5C332  696e637265646962
  162     DATA     20    2       142      206752    1456  0x52FE6276  6e74206261636b20
  163     DATA     20    3       143      208208    1456  0x4E8F43D1  696e74656c6c6563
  164     DATA     20    4       144      209664    1456  0x61EDF8C7  6f6e20666f72206d
  165     DATA     20    5       145      211120    1456  0xF2C9E54A  6c662e20476c6173
  166     DATA     20    6       146      212576    1456  0x04814504  65206f6620676c61
  167   PARITY     20    7         -           -    1456  0xA95EB456  60353a30407b3e2d
  168     DATA     21    0       147      214032    1456  0x4CF6AFBB  616d696320616e64
  169     DATA     21    1       148      215488    1456  0x28A28027  72616e736d697474
  170     DATA     21    2       149      216944    1456  0xBDC7D47B  6573206173206579
  171     DATA     21    3       150      218400    1456  0x9F533E5F  747269616c207361
  172     DATA     21    4       151      219856    1456  0x949DFD5A  616c6c7920636170
  173     DATA     21    5       152      221312    1456  0x91B5E2F7  61726f6d6173206f
  174     DATA     21    6       153      222768    1456  0x9AD75D30  766572736174696c
  175   PARITY     21    7         -           -    1456  0xD93F8725  74763f77726c247b
  176     DATA     22    0       154      224224    1456  0x493C66B9  7320666f72206875
  177     DATA     22    1       155      225680    1456  0x1BC40E53  6564206d69786572
  178     DATA     22    2       156      227136    1456  0x884494DF  616e206578747261
  179     DATA     22    3       157      228592    1456  0xDB444B52  2074686520646973
  180     DATA     22    4       158      230048    1456  0x618DAF5B  656c79206120636f
  181     DATA     22    5       159      231504    1456  0x25D5E886  206c69666520616e
  182     DATA     22    6       160      232960    1456  0x18041BA8  2c20737472657463
  183   PARITY     22    7         -           -    1456  0x5DA4EB12  3e7e6d30352d6077
  184     DATA     23    0       161      234416    1456  0xBCEEAC8D  697a652074696e74
  185     DATA     23    1       162      235872    1456  0xE3A58E13  2077696e65732e20
  186     DATA     23    2       163      237328    1456  0x3C07DACD  676c617373657320
  187     DATA     23    3       164      238784    1456  0xC80F951C  2049662061207461
  188     DATA     23    4       165      240240    1456  0xFE4B37F0  6c206167653b2062
  189     DATA     23    5       166      241696    1456  0xF6BD8251  6461746573206120
  190     DATA     23    6       167      243152    1456  0x80B3554C  73696e676c652c20
  191   PARITY     23    7         -           -    1456  0x23068DA2  7500707879212a77
  192     DATA     24    0       168      244608    1456  0xA01A5247  2068797065726f70
  193     DATA     24    1       169      246064    1456  0x6D4EC2D0  696f6e2c20617574
  194     DATA     24    2       170      247520    1456  0xCBC87240  2061726368697465
  195     DATA     24    3       171      248976    1456  0x5D5CA8C0  6c69642c206d6561
  196     DATA     24    4       172      250432    1456  0xDDC0F928  72657220746f2073
  197     DATA     24    5       173      251888    1456  0x84B9C413  206f662073706563
  198     DATA     24    6       174      253344    1456  0x2B066D4B  6469676974616c20
  199   PARITY     24    7         -           -    1456  0x29BF1A67  336c727a7e692230
  200     DATA     25    0       175      254800    1456  0x998D9018  61626c7920746865
